ref_fnr,ref_int,famille,sous_famille,designation,specificite,dimension,couleur,h5,h4,H3,H8,H7,total,qte_plus_10,prepare,charge,commander,location,stock,slode_stock,observation,inventaire_fait_le
,,AUDIO / VIDEO,ECRANS,BORNE TACTILE,,,,,,,,,0,0,,,,,2,2,,
,HL55,AUDIO / VIDEO,ECRANS,HAUTE LUMINOSITE 55'',,,,,,,,,0,0,,,,,4,4,,
,HL75,AUDIO / VIDEO,ECRANS,HAUTE LUMINOSITE 75'',,,,,,,,,0,0,,,,,4,4,,
,,AUDIO / VIDEO,ECRANS,LCD 24'',,,,,,,,,0,0,,,,,2,2,,
,LCD32,AUDIO / VIDEO,ECRANS,LCD 32'',,,,,,,,,0,0,,,,,2,2,,
,LCD42,AUDIO / VIDEO,ECRANS,LCD 43'',,,,,,,,,0,0,,,,,20,20,,
,LCD50,AUDIO / VIDEO,ECRANS,LCD 49'',,,,,,,,,0,0,,,,,4,4,,
,LCD55,AUDIO / VIDEO,ECRANS,LCD 55'',,,,,,,,,0,0,,,,,4,4,,
,LCD65,AUDIO / VIDEO,ECRANS,LCD 65'',,,,,,,,,0,0,,,,,4,4,,
,LCD75,AUDIO / VIDEO,ECRANS,LCD 75'',,,,,,,,,0,0,,,,,2,2,,
,PLA103,AUDIO / VIDEO,ECRANS,PLASMA 103'',,,,,,,,,0,0,,,,,1,1,,
,,AUDIO / VIDEO,ECRANS,TABLE TACTILE 42'',,,,,,,,,0,0,,,,,1,1,,
,,AUDIO / VIDEO,ACCESSOIRE,PILES,,AA + AAA,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ACCESSOIRE,TELECOMMANDE POWERPOINT,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,CABLE HDMI,Ecran ==> Ordi,"1,5m à 3m",,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,CABLE HDMI,,5m,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,CABLE HDMI,,10m,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,CABLE HDMI,,15m,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,DISTRI HDMI,,1 POUR 4,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,SPLITTER HDMI 1>8,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,ENROULEUR SDI,,50m,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,ENROULEUR SDI,,100m,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,ADAPTATEUR SDI VERS HDMI,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,ADAPTATEUR HDMI VERS SDI,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,SDI ==> 5 sorties,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,KIT LG,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS CABLAGE,KIT VIDEO,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS FIXATIONS,ANNEAUX ELINGAGE,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS FIXATIONS,BUMPER,,1M,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS FIXATIONS,BUMPER,,2M,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS FIXATIONS,CABLETTE NOIRE / GRIPPLE,,,,,,,,,0,0,,,,,,0,,
,A0043,AUDIO / VIDEO,ECRANS FIXATIONS,SUPPORT SALLE,SUPPORT SALLE,,,,,,,,0,0,,,,,,0,,
,T4255,AUDIO / VIDEO,ECRANS FIXATIONS,PIEDS SUPPORT,De 32'' à 55'',,,,,,,,0,0,,,,,18,18,,
,A0043,AUDIO / VIDEO,ECRANS FIXATIONS,PLATINE MURALE,Support Mural,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS FIXATIONS,SUPPORT ALUVISION,Platine + Contre Platine,,,,,,,,0,0,,,,,,0,,
,A0042,AUDIO / VIDEO,ECRANS FIXATIONS,SUPPORT MODULAIRE,Fer plat en S,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS FIXATIONS,PIEDS SUPPORT LOURD ,Pour ecran LG 55'',,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS FIXATIONS,SUPPORTS STRUCTURE,Pour Ecrans LG 75'',,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,ECRANS FIXATIONS,CALE MOUSSE 50mm,Pour Ecrans LG 75'',,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,MUR LED,"DALLE LED PITCH 2,5 ",,500x500,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,MUR LED,"DALLE LED PITCH 2,5 :  COMMANDES M²",,,,,,,,,0,0,,,,,100,100,,
,,AUDIO / VIDEO,MUR LED,"DALLE LED PITCH 2,5 : EQUIVALENT DALLES",4 Dalles / M²,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,MUR LED,"DALLE LED PITCH 2,5 : EQUIVALENT FLY",10 Dalles / Fly,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,MUR LED CONNEXION,CABLE SECTEUR POWERCON 1 M,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,MUR LED CONNEXION,CABLE SECTEUR POWERCON 10 M,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,MUR LED CONNEXION,CABLE SIGNAL RJ45 1 M,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,MUR LED CONNEXION,CABLE SIGNAL RJ45 20 M,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,MUR LED CONTRÔLE,PROCESSEUR VX4S,,,,,,,,,0,0,,,,,,0,,
,,AUDIO / VIDEO,MUR LED CONTRÔLE,PROCESSEUR VX6S,,,,,,,,,0,0,,,,,,0,,
